delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
585,This train has been delayed by a road vehicle colliding with a bridge earlier today,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge
586,This train has been delayed by a broken down train earlier today,disruption-reason.e.an earlier broken down train,disruption-reason.m.an earlier broken down train,disruption-reason.e.an earlier broken down train,disruption-reason.m.an earlier broken down train
587,This train has been delayed by an earlier landslip,disruption-reason.e.an earlier landslide,disruption-reason.m.an earlier landslide,disruption-reason.e.an earlier landslide,disruption-reason.m.an earlier landslide
588,This train has been delayed by a fire next to the track earlier today,disruption-reason.e.an earlier lineside fire,disruption-reason.m.an earlier lineside fire,disruption-reason.e.an earlier lineside fire,disruption-reason.m.an earlier lineside fire
589,This train has been delayed by a fire on a train earlier today,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
590,This train has been delayed by a coach becoming uncoupled on a train earlier in its journey,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified
591,This train has been delayed by a coach becoming uncoupled on a train earlier today,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified
592,This train has been delayed by a coach becoming uncoupled on this train earlier in its journey,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified
593,This train has been delayed by a coach becoming uncoupled on this train earlier today,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified
594,This train has been delayed by a train not stopping at a station it was supposed to earlier in its journey,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
595,This train has been delayed by a train not stopping at a station it was supposed to earlier today,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
596,This train has been delayed by a train not stopping in the correct position at a station earlier in its journey,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
597,This train has been delayed by a train not stopping in the correct position at a station earlier today,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
598,This train has been delayed by a train's automatic braking system being activated earlier in its journey,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train
599,This train has been delayed by a train's automatic braking system being activated earlier today,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train
600,This train has been delayed by an operational incident earlier in its journey,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
601,This train has been delayed by an operational incident earlier today,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
602,This train has been delayed by this train not stopping at a station it was supposed to earlier in its journey,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
603,This train has been delayed by this train not stopping at a station it was supposed to earlier today,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
604,This train has been delayed by this train not stopping in the correct position at a station earlier in its journey,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
605,This train has been delayed by this train not stopping in the correct position at a station earlier today,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
606,This train has been delayed by this train's automatic braking system being activated earlier in its journey,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
607,This train has been delayed by this train's automatic braking system being activated earlier today,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
608,This train has been delayed by a collision at a level crossing earlier today,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
609,This train has been delayed by a collision at a level crossing yesterday,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
610,This train has been delayed by a fault with barriers at a level crossing earlier today,disruption-reason.e.a failure of level crossing apparatus,disruption-reason.m.a failure of level crossing apparatus,disruption-reason.e.a failure of level crossing apparatus,disruption-reason.m.a failure of level crossing apparatus
611,This train has been delayed by a fault with barriers at a level crossing yesterday,disruption-reason.e.a failure of level crossing apparatus,disruption-reason.m.a failure of level crossing apparatus,disruption-reason.e.a failure of level crossing apparatus,disruption-reason.m.a failure of level crossing apparatus
612,This train has been delayed by a road accident at a level crossing earlier today,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing
613,This train has been delayed by a road accident at a level crossing yesterday,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing
614,This train has been delayed by a road vehicle colliding with level crossing barriers earlier today,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
615,This train has been delayed by a road vehicle colliding with level crossing barriers yesterday,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
616,This train has been delayed by a road vehicle damaging track at a level crossing earlier today,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
617,This train has been delayed by a road vehicle damaging track at a level crossing yesterday,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
618,This train has been delayed by a burst water main near the railway earlier today,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
619,This train has been delayed by a burst water main near the railway yesterday,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
620,This train has been delayed by a chemical spillage near the railway earlier today,disruption-reason.e.a chemical spillage,disruption-reason.m.a chemical spillage,disruption-reason.e.a chemical spillage,disruption-reason.m.a chemical spillage
621,This train has been delayed by a chemical spillage near the railway yesterday,disruption-reason.e.a chemical spillage,disruption-reason.m.a chemical spillage,disruption-reason.e.a chemical spillage,disruption-reason.m.a chemical spillage
622,This train has been delayed by a fire near the railway involving gas cylinders earlier today,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
623,This train has been delayed by a fire near the railway involving gas cylinders yesterday,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
624,This train has been delayed by a fire near the railway suspected to involve gas cylinders earlier today,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
625,This train has been delayed by a fire near the railway suspected to involve gas cylinders yesterday,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
626,This train has been delayed by a fire on property near the railway earlier today,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
627,This train has been delayed by a fire on property near the railway yesterday,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
628,This train has been delayed by a gas leak near the railway earlier today,disruption-reason.e.a gas leak in the area,disruption-reason.m.a gas leak in the area,disruption-reason.e.a gas leak in the area,disruption-reason.m.a gas leak in the area
629,This train has been delayed by a gas leak near the railway yesterday,disruption-reason.e.a gas leak in the area,disruption-reason.m.a gas leak in the area,disruption-reason.e.a gas leak in the area,disruption-reason.m.a gas leak in the area
630,This train has been delayed by a road accident near the railway earlier today,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
631,This train has been delayed by a road accident near the railway yesterday,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
632,This train has been delayed by a wartime bomb near the railway earlier today,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
633,This train has been delayed by a wartime bomb near the railway yesterday,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
634,This train has been delayed by a wartime bomb which has now been made safe,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
635,This train has been delayed by ambulance service dealing with an incident near the railway earlier today,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
636,This train has been delayed by ambulance service dealing with an incident near the railway yesterday,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
637,This train has been delayed by emergency services dealing with an incident near the railway earlier today,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
638,This train has been delayed by emergency services dealing with an incident near the railway yesterday,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
639,This train has been delayed by fire brigade dealing with an incident near the railway earlier today,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
640,This train has been delayed by fire brigade dealing with an incident near the railway yesterday,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
641,This train has been delayed by police dealing with an incident near the railway earlier today,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
642,This train has been delayed by police dealing with an incident near the railway yesterday,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
643,This train has been delayed by a boat colliding with a bridge earlier today,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
644,This train has been delayed by a fault with a swing bridge over a river earlier today,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
645,This train has been delayed by a problem with a river bridge earlier today,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
646,This train has been delayed by an earlier problem with line-side equipment,disruption-reason.e.an earlier fault with the signalling equipment,disruption-reason.m.an earlier fault with the signalling equipment,disruption-reason.e.an earlier fault with the signalling equipment,disruption-reason.m.an earlier fault with the signalling equipment
647,This train has been delayed by a security alert earlier today,disruption-reason.e.an earlier security alert,disruption-reason.m.an earlier security alert,disruption-reason.e.an earlier security alert,disruption-reason.m.an earlier security alert
648,This train has been delayed by a fault on this train which is now fixed,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified
649,This train has been delayed by trespassers on the railway earlier in this train's journey,disruption-reason.e.an earlier trespassing incident,disruption-reason.m.an earlier trespassing incident,disruption-reason.e.an earlier trespassing incident,disruption-reason.m.an earlier trespassing incident
650,This train has been delayed by trespassers on the railway earlier today,disruption-reason.e.an earlier trespassing incident,disruption-reason.m.an earlier trespassing incident,disruption-reason.e.an earlier trespassing incident,disruption-reason.m.an earlier trespassing incident
651,This train has been delayed by a bicycle on the track,disruption-reason.e.debris on the line,disruption-reason.m.debris on the line,disruption-reason.e.debris on the line,disruption-reason.m.debris on the line
652,This train has been delayed by a road vehicle blocking the railway,disruption-reason.e.a road vehicle on the line,disruption-reason.m.a road vehicle on the line,disruption-reason.e.a road vehicle on the line,disruption-reason.m.a road vehicle on the line
653,This train has been delayed by a supermarket trolley on the track,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line
654,This train has been delayed by a train hitting an obstruction on the line,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line
655,This train has been delayed by a tree blocking the railway,disruption-reason.e.a fallen tree on the line,disruption-reason.m.a fallen tree on the line,disruption-reason.e.a fallen tree on the line,disruption-reason.m.a fallen tree on the line
656,This train has been delayed by an obstruction on the track,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line
657,This train has been delayed by checking reports of an obstruction on the line,disruption-reason.e.reports of debris on the line,disruption-reason.m.reports of debris on the line,disruption-reason.e.reports of debris on the line,disruption-reason.m.reports of debris on the line
658,This train has been delayed by this train hitting an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line
659,This train has been delayed by a bicycle on the track earlier on this train's journey,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line
660,This train has been delayed by a bicycle on the track earlier today,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
661,This train has been delayed by a road vehicle blocking the railway earlier on this train's journey,disruption-reason.e.a road vehicle on the line,disruption-reason.m.a road vehicle on the line,disruption-reason.e.a road vehicle on the line,disruption-reason.m.a road vehicle on the line
662,This train has been delayed by a road vehicle blocking the railway earlier today,disruption-reason.e.a road vehicle on the line,disruption-reason.m.a road vehicle on the line,disruption-reason.e.a road vehicle on the line,disruption-reason.m.a road vehicle on the line
663,This train has been delayed by a supermarket trolley on the track earlier on this train's journey,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line
664,This train has been delayed by a supermarket trolley on the track earlier today,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line,disruption-reason.e.objects being thrown onto the line,disruption-reason.m.objects being thrown onto the line
665,This train has been delayed by a train hitting an obstruction on the line earlier on this train's journey,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line
666,This train has been delayed by a train hitting an obstruction on the line earlier today,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line
667,This train has been delayed by a tree blocking the railway earlier on this train's journey,disruption-reason.e.an earlier fallen tree on the line,disruption-reason.m.an earlier fallen tree on the line,disruption-reason.e.an earlier fallen tree on the line,disruption-reason.m.an earlier fallen tree on the line
668,This train has been delayed by a tree blocking the railway earlier today,disruption-reason.e.an earlier fallen tree on the line,disruption-reason.m.an earlier fallen tree on the line,disruption-reason.e.an earlier fallen tree on the line,disruption-reason.m.an earlier fallen tree on the line
669,This train has been delayed by an obstruction on the track earlier on this train's journey,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
670,This train has been delayed by an obstruction on the track earlier today,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
671,This train has been delayed by checking reports of an obstruction on the line earlier on this train's journey,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
672,This train has been delayed by checking reports of an obstruction on the line earlier today,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
673,This train has been delayed by this train hitting an obstruction on the line earlier in its journey,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
674,This train has been delayed by this train hitting an obstruction on the line earlier on this train's journey,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
675,This train has been delayed by this train hitting an obstruction on the line earlier today,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line,disruption-reason.e.earlier reports of debris on the line,disruption-reason.m.earlier reports of debris on the line
676,This train has been delayed by a coach becoming uncoupled on a train,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified
677,This train has been delayed by a coach becoming uncoupled on this train,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified,disruption-reason.e.a fault on the train that has now been rectified,disruption-reason.m.a fault on the train that has now been rectified
678,This train has been delayed by a train not stopping at a station it was supposed to,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
679,This train has been delayed by a train not stopping in the correct position at a station,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
680,This train has been delayed by a train's automatic braking system being activated,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train
681,This train has been delayed by an operational incident,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
682,This train has been delayed by this train not stopping at a station it was supposed to,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
683,This train has been delayed by this train not stopping in the correct position at a station,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
684,This train has been delayed by this train's automatic braking system being activated,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train,disruption-reason.e.the emergency cord being pulled on the train,disruption-reason.m.the emergency cord being pulled on the train
685,This train has been delayed by overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
686,This train has been delayed by overcrowding as this train has fewer coaches than normal,disruption-reason.e.overcrowding caused by the short formation of this service today,disruption-reason.m.overcrowding caused by the short formation of this service today,disruption-reason.e.overcrowding caused by the short formation of this service today,disruption-reason.m.overcrowding caused by the short formation of this service today
687,This train has been delayed by overcrowding because an earlier train had fewer coaches than normal,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
688,This train has been delayed by overcrowding because of a concert,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
689,This train has been delayed by overcrowding because of a football match,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
690,This train has been delayed by overcrowding because of a marathon,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
691,This train has been delayed by overcrowding because of a rugby match,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
692,This train has been delayed by overcrowding because of a sporting event,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
693,This train has been delayed by overcrowding because of an earlier cancellation,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
694,This train has been delayed by overcrowding because of an event,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
695,This train has been delayed by overcrowding earlier on this train's journey,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding,disruption-reason.e.overcrowding,disruption-reason.m.overcrowding
696,This train has been delayed by animals on the railway,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line
697,This train has been delayed by cattle on the railway,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line
698,This train has been delayed by horses on the railway,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line
699,This train has been delayed by sheep on the railway,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line
700,This train has been delayed by animals on the railway earlier today,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line
701,This train has been delayed by cattle on the railway earlier today,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line
702,This train has been delayed by horses on the railway earlier today,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line
703,This train has been delayed by sheep on the railway earlier today,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line
704,This train has been delayed by passengers causing a disturbance on a train,disruption-reason.e.police attending a disturbance on a preceding train,disruption-reason.m.police attending a disturbance on a preceding train,disruption-reason.e.police attending a disturbance on a preceding train,disruption-reason.m.police attending a disturbance on a preceding train
705,This train has been delayed by passengers causing a disturbance on this train,disruption-reason.e.reports of a disturbance on board this train,disruption-reason.m.reports of a disturbance on board this train,disruption-reason.e.reports of a disturbance on board this train,disruption-reason.m.reports of a disturbance on board this train
706,This train has been delayed by passengers causing a disturbance earlier in this train's journey,disruption-reason.e.earlier reports of a disturbance on board this train,disruption-reason.m.earlier reports of a disturbance on board this train,disruption-reason.e.earlier reports of a disturbance on board this train,disruption-reason.m.earlier reports of a disturbance on board this train
707,This train has been delayed by passengers causing a disturbance on a train earlier today,disruption-reason.e.police attending a disturbance on a preceding train,disruption-reason.m.police attending a disturbance on a preceding train,disruption-reason.e.police attending a disturbance on a preceding train,disruption-reason.m.police attending a disturbance on a preceding train
708,This train has been delayed by a fault with the electric third rail earlier on this train's journey,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems
709,This train has been delayed by a fault with the electric third rail earlier today,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems
710,This train has been delayed by damage to the electric third rail earlier on this train's journey,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems
711,This train has been delayed by damage to the electric third rail earlier today,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems,disruption-reason.e.electric conductor rail problems,disruption-reason.m.electric conductor rail problems
712,This train has been delayed by failure of the electricity supply earlier on this train's journey,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem
713,This train has been delayed by failure of the electricity supply earlier today,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem
714,This train has been delayed by the electricity being switched off for safety reasons earlier on this train's journey,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem
715,This train has been delayed by the electricity being switched off for safety reasons earlier today,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem
716,This train has been delayed by urgent repairs to a bridge earlier today,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs
717,This train has been delayed by urgent repairs to a tunnel earlier today,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs
718,This train has been delayed by urgent repairs to the railway earlier today,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs
719,This train has been delayed by urgent repairs to the track earlier today,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs,disruption-reason.e.earlier emergency track repairs,disruption-reason.m.earlier emergency track repairs
