delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
855,This train has been delayed by a speed restriction because of severe weather earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
856,This train has been delayed by a speed restriction because of severe weather earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
857,This train has been delayed by a speed restriction because of snow and ice,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
858,This train has been delayed by a speed restriction because of snow and ice earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
859,This train has been delayed by a speed restriction because of snow and ice earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
860,This train has been delayed by a speed restriction earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
861,This train has been delayed by a speed restriction earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
862,This train has been delayed by a speed restriction in a tunnel,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
863,This train has been delayed by a speed restriction in a tunnel earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
864,This train has been delayed by a speed restriction in a tunnel earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
865,This train has been delayed by a speed restriction over a bridge,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
866,This train has been delayed by a speed restriction over a bridge earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
867,This train has been delayed by a speed restriction over a bridge earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
868,This train has been delayed by a speed restriction over an embankment,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
869,This train has been delayed by a speed restriction over an embankment earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
870,This train has been delayed by a speed restriction over an embankment earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
871,This train has been delayed by a speed restriction over defective track,disruption-reason.e.a temporary speed restriction because of track repairs,disruption-reason.m.a temporary speed restriction because of track repairs,disruption-reason.e.a temporary speed restriction because of track repairs,disruption-reason.m.a temporary speed restriction because of track repairs
872,This train has been delayed by a speed restriction over defective track earlier on this train's journey,disruption-reason.e.a temporary speed restriction because of track repairs,disruption-reason.m.a temporary speed restriction because of track repairs,disruption-reason.e.a temporary speed restriction because of track repairs,disruption-reason.m.a temporary speed restriction because of track repairs
873,This train has been delayed by a speed restriction over defective track earlier today,disruption-reason.e.a temporary speed restriction because of track repairs,disruption-reason.m.a temporary speed restriction because of track repairs,disruption-reason.e.a temporary speed restriction because of track repairs,disruption-reason.m.a temporary speed restriction because of track repairs
874,This train has been delayed by attempted theft of overhead line electrification equipment,disruption-reason.e.overhead electric line problems,disruption-reason.m.overhead electric line problems,disruption-reason.e.overhead electric line problems,disruption-reason.m.overhead electric line problems
875,This train has been delayed by attempted theft of railway equipment,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
876,This train has been delayed by attempted theft of signalling cables,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
877,This train has been delayed by attempted theft of third rail electrification equipment,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
878,This train has been delayed by theft of overhead line electrification equipment,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
879,This train has been delayed by theft of railway equipment,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
